"Story","Title","Result","Date","Stability","Duration (s)"
"User CURD test with steps","This will create a user","SUCCESS","2022-06-21T11:10:25.426+01:00[Europe/London]","0.0","2.98"
"User CURD test with steps","This will update a user by PUT","SUCCESS","2022-06-21T11:10:28.824+01:00[Europe/London]","0.0","0.17"
"User CURD test with steps","This will update a user by Patch","SUCCESS","2022-06-21T11:10:28.997+01:00[Europe/London]","0.0","0.15"
"User CURD test with steps","This will Delete a user ","SUCCESS","2022-06-21T11:10:29.146+01:00[Europe/London]","0.0","0.12"
"User CURD test with steps","1. This will verify if Page = 2","SUCCESS","2022-06-21T11:10:29.266+01:00[Europe/London]","0.0","0.14"
"User CURD test with steps","2. This will if verify Per_page = 6","SUCCESS","2022-06-21T11:10:29.408+01:00[Europe/London]","0.0","0.11"
"User CURD test with steps","5. This will if verify list of data = 6","SUCCESS","2022-06-21T11:10:29.726+01:00[Europe/London]","0.0","0.11"
"User CURD test with steps","6. This will if verify fifth data avatar=https://reqres.in/img/faces/12-image.jpg","SUCCESS","2022-06-21T11:10:29.836+01:00[Europe/London]","0.0","0.09"
"User CURD test with steps","7. This will if verify support.url =https://reqres.in/#support-heading","SUCCESS","2022-06-21T11:10:29.930+01:00[Europe/London]","0.0","0.1"
"User CURD test with steps","8. This will if verify support.text = To keep ReqRes free, contributions towards server costs are appreciated!","SUCCESS","2022-06-21T11:10:30.027+01:00[Europe/London]","0.0","0.12"
